cell,rho,log10rho
0,843.1811689089916,2.9259208987102214
1,11.50385727984213,1.060843485090137
2,710.8229836474115,2.8517614617751748
3,705.5721748018071,2.848541445467994
4,468.5566106151109,2.670762069487382
5,162.21145360289205,2.2100815160953386
6,139.2441335078333,2.1437769069779335
7,607.213319973563,2.7833412897773595
8,945.0968673889289,2.97547632365899
9,769.6588387148553,2.886298261150873
10,835.139255586674,2.9217588981068108
11,714.0491541746225,2.853728109047913
12,578.9816303286062,2.762664784844054
13,539.023365830502,2.7316075915899045
14,139.46937566403986,2.1444788567838047
15,385.97403574092885,2.5865580909056862
16,72.9483986225804,1.8630157626172668
17,748.0398837726129,2.873924754068457
18,417.456283495885,2.6206110023811062
19,451.4885198792441,2.6546467118666177
20,397.53912072743856,2.599379872816544
21,168.02501725290068,2.225373948666414
22,665.6938736918198,2.823274560205269
23,957.0543375967402,2.9809365959257446
24,803.3587038656927,2.9049095033426204
25,626.6176135235239,2.7970025982516606
26,419.2785366965343,2.622502630987302
27,509.2799968707735,2.7069566186084435
28,21.297623517177946,1.328331145647349
29,504.60250273937055,2.7029494002108914
30,378.27333397618645,2.5778057271897055
31,85.6752685969421,1.9328554746424584
32,48.20545361698318,1.6830961739604478
33,468.40263133923645,2.6706193261375173
34,197.08294020098876,2.2946490327156184
35,663.593224283399,2.821901942947028
36,877.7399769944786,2.9433658789111363
37,881.7365212048136,2.945338829483713
38,529.2205765116228,2.7236367215542536
39,657.8568477793667,2.818131399718448
40,988.667650415528,2.995050324106709
41,113.41853849243302,2.054684046681587
42,935.5553182282723,2.9710694718905524
43,397.3987569643929,2.5992265043330582
44,626.6120683998515,2.796998755034975
45,818.5108487297011,2.913024440024345
46,223.02402250529767,2.34835164457102
47,362.45677860314765,2.559256226263488
48,213.7429127764173,2.3298917234323873
49,579.4212896712899,2.762994448439193
50,155.53817774327246,2.1918370065345147
51,252.87870887917123,2.402912265463274
52,835.2315079480621,2.921806869123077
53,108.90408076512001,2.0370441535902004
54,771.924876487873,2.887575036975257
55,515.1245690082403,2.7119122641695363
56,797.7425465656163,2.9018627552026888
57,559.9443012003095,2.7481448289983206
58,87.78585144971142,1.9434245257869691
59,220.00333580580647,2.3424292658725303
60,531.4060522689426,2.7254264963520844
61,458.52872908482345,2.661366551548312
62,715.0305391485858,2.8543245910325155
63,207.7221263425075,2.317482759590702
64,180.5450284201885,2.256585533973559
65,908.3858890155822,2.9582703792131912
66,784.7169322991086,2.894713023737982
67,981.2501105918822,2.9917797187005104
68,86.80035425557871,1.938521497652633
69,542.3742592363018,2.73429906998713
70,20.486834902150008,1.3114748675906456
71,708.0141865196263,2.8500419597596354
72,576.7640249133087,2.7609981638665655
73,624.6094997834545,2.7956085851970283
74,990.6720589248157,2.995929914253383
75,54.386527388184476,1.7354913297418866
76,23.061990469570446,1.3628967883292193
77,666.1798802647927,2.823591512140919
78,391.07515525341137,2.5922602263865997
79,724.9295815240276,2.8602958219629238
80,553.3718442782646,2.743017058336452
81,185.2531051908793,2.2677654963056804
82,914.1033739937235,2.960995311944362
83,545.3570062654213,2.736680896939541
84,920.6145874142217,2.9640778521387827
85,878.0125716035545,2.943500734287612
86,476.6407396606624,2.678191159818381
87,206.64998134154342,2.3152353704052175
88,33.52181142320674,1.5253274786291047
89,816.8469134385007,2.9121406723481806
90,482.28837893723585,2.683306797430411
91,942.9347559003911,2.9744816438161137
92,235.69036087404274,2.372341821366856
93,509.63534178575566,2.7072595374794246
94,532.6580980133492,2.726448533996512
95,236.2476962054723,2.3733675821331346
96,632.4730025637614,2.8010419921596013
97,33.42437133419445,1.5240632475373752
98,438.1098783730844,2.641583045633218
99,665.5658146229695,2.82319100724018
