cell,rho,log10rho
0,135.30679285138012,2.1313196001735073
1,478.49157908862526,2.6798742990877353
2,988.4999304795235,2.9949766431060794
3,437.66917280028923,2.641145958186771
4,586.0459511829458,2.7679316698795122
5,959.4811894841654,2.982036464862728
6,810.1378132076061,2.90855890335348
7,101.58698950764149,2.006838090360775
8,872.3828393535997,2.940707113982157
9,270.77814401018196,2.432613607137046
10,556.6147615707423,2.7455547197553147
11,222.3025574625823,2.346944459035015
12,607.4095738457054,2.78348163288286
13,480.43879484609005,2.681638068895984
14,820.0002478841174,2.9138139836699217
15,309.26588113735784,2.4903320103649618
16,536.8353610753696,2.7298411148623387
17,260.1240512020081,2.4151805091409373
18,205.45132043212323,2.3127089368100684
19,931.903044348974,2.9693707304928374
20,41.38313054306119,1.616823340997454
21,88.18956286531869,1.9454171899139776
22,897.4032975935654,2.9529876610562686
23,970.4436803396201,2.9869703361927384
24,323.21531905674095,2.5094919363356745
25,636.3952519463039,2.803726930777793
26,694.302883717426,2.841548969058893
27,372.75180331698823,2.571419753181297
28,22.744387539066935,1.3568742466403707
29,735.590996596321,2.8666364049699746
30,10.816176647267863,1.0340737714514079
31,180.37976951844857,2.256187827667223
32,190.8827709545099,2.280766730818715
33,443.4167498200733,2.646812094319824
34,12.74943867823476,1.1054910644318103
35,750.2173998120581,2.875187132534954
36,889.9087805961813,2.9493454919100146
37,807.4568601190401,2.907119328634436
38,567.9741457542561,2.754328567028247
39,208.0754456985061,2.318220833566644
40,461.7819494059029,2.664436952776428
41,461.3053507352265,2.6639884920704517
42,993.5915771556886,2.997207901260131
43,810.5024745770353,2.9087543451481497
44,224.64699853672488,2.3515006204467563
45,68.80638836756948,1.8376287624213097
46,390.2202800705352,2.591309836288266
47,719.9445943316157,2.857299075178601
48,112.44503349416439,2.0509402781468227
49,499.98179477588116,2.698954191191382
50,831.848316493524,2.9200441420172685
51,421.920937372349,2.625231077312808
52,557.4979295910515,2.746243258861272
53,441.33358496972266,2.644766978006974
54,955.6696705830672,2.980307803328601
55,263.9285880291891,2.4214864343689233
56,375.75181571830177,2.5749010878738066
57,594.9575182172775,2.7744859568840434
58,402.92290336301056,2.6052219547089632
59,806.496221289422,2.9066023369115928
60,463.003922155496,2.6655846699883083
61,544.6563116745162,2.736122540759414
62,780.8396573323681,2.8925618621935314
63,32.532179568332005,1.5123131608161249
64,823.416989633603,2.91561982358933
65,930.950551863767,2.9689266137170804
66,340.30131251576177,2.531863624139164
67,339.26311953499703,2.5305366511187612
68,930.1842434150822,2.96856897863299
69,45.930961752852234,1.6621055392473092
70,993.1732330656988,2.997025006403558
71,435.8050700723679,2.6392922784381025
72,534.6726934649444,2.728088004597218
73,859.9209558093372,2.934458532599935
74,648.4780480218785,2.81189527913355
75,182.14684905588115,2.260421662816585
76,571.2137650986753,2.7567986645145584
77,330.6376993287071,2.5193523703394534
78,34.30765060422645,1.5353909784888267
79,311.20169454739323,2.493041953133135
80,426.3355697398833,2.6297515679211725
81,373.4727904737544,2.572258966586337
82,997.0862184953904,2.9987327135752766
83,927.5776096522644,2.9673502568678147
84,58.51594252375478,1.76727420466046
85,496.0231705756847,2.6955019640267444
86,173.98493250563337,2.240511639012471
87,899.3393296502438,2.953923586270779
88,887.5746977067098,2.9482049132051014
89,529.6227148904777,2.7239666032066445
90,745.6648993562028,2.872543700050961
91,385.27916985621926,2.58577552948784
92,556.241292425434,2.7452632254610165
93,789.31972559018,2.897252956229821
94,693.7965698029532,2.841232148317612
95,838.4871112123308,2.9234963912445684
96,528.6298890705244,2.7231517147764404
97,196.36736995413827,2.2930693234397963
98,342.8980311780769,2.5351649915280334
99,483.9252254629449,2.6847782610708553
